,parameter_id,count
212,t132h,1
194,t81,1
197,t118h,1
142,t59g,1
141,t60g,1
201,t138a,1
209,t48a,1
210,t126,1
208,t19a,1
198,t119h,2
168,t82h,2
105,t122l,2
195,t115h,2
196,t62g,2
161,t73h,2
183,t130h,2
200,t18b,2
202,t120h,2
3,t8,2
204,t164,2
173,t112,3
167,t83h,3
134,t82a,3
171,t101,3
153,t31a,3
129,t55,3
83,t53,3
199,t132g,3
166,t42a,4
59,t71h,4
193,t141a,4
137,t122h,4
155,t57,4
157,t122g,5
205,t143j,5
19,t116i,5
207,t58g,5
186,t87a,5
115,t142j,5
174,t114,5
58,t72h,5
211,t62h,5
180,t143k,5
127,t113,5
1,t7,6
156,t102,6
182,t103,6
16,t143i,6
176,t12,6
178,t74h,6
162,t137,7
138,t36,7
206,t128,7
43,t133j,7
128,t54,7
37,t162,8
184,t122j,8
181,t104,8
203,t141b,8
170,t116g,9
172,t133g,9
185,t33,9
95,t100,9
179,t50,9
106,t121h,9
131,t37,10
135,t142g,10
154,t31,10
126,t163,10
190,t89,10
192,t158,10
117,t133i,10
17,t154,10
114,t143g,10
48,t61h,11
34,t142i,11
119,t116j,11
125,t56,11
116,t125,11
146,t49,12
191,t122i,12
100,t142k,12
97,t15,12
189,t88,13
163,t32,14
140,t131,14
151,t73g,14
55,t65,14
159,t122k,14
147,t157h,14
44,t142h,14
175,t141,14
12,t38,14
33,t132i,14
22,t52,14
23,t135,14
8,t91,15
121,t150,15
152,t30,15
30,t120g,15
51,t92,15
41,t130i,15
36,t160,15
31,t11,15
20,t155,16
160,t145,16
21,t153,16
177,t136,16
52,t123a,16
47,t60h,16
113,t71g,17
10,t34,17
188,t156,17
49,t59h,18
46,t98,18
72,t151,18
50,t99,18
77,t134,19
158,t144,19
139,t46,19
38,t161,19
2,t6,20
124,t72g,20
25,t119g,20
57,t14,20
165,t129,20
71,t68,20
118,t143h,21
11,t28,21
82,t63,21
53,t116h,21
144,t25,22
0,t124,22
75,t10,22
68,t24,22
89,t40,22
108,t39,22
130,t109,23
93,t41,23
169,t26,23
40,t159,23
123,t152,23
187,t148,23
103,t35,23
14,t13,23
88,t16,24
109,t140,24
133,t76,24
67,t29,24
148,t85,25
39,t9,25
99,t18a,25
28,t146,25
104,t90,25
76,t4,25
7,t139,25
136,t3,25
112,t108,26
149,t84,26
122,t147,27
132,t70,28
27,t157g,28
13,t127,29
86,t42,30
143,t93,31
107,t111,31
164,t80,32
90,t110,33
96,t96,33
61,t27,33
111,t117,33
79,t19,34
150,t44,34
84,t138,34
9,t21,35
35,t149,35
15,t20,36
94,t69,36
26,t83g,38
66,t83a,40
81,t107,43
56,t94,43
80,t87,45
63,t48,46
85,t67,46
45,t58h,47
120,t5,47
29,t118g,48
145,t106,51
42,t51,54
54,t115g,54
70,t97,61
91,t2,63
24,t23,69
65,t121g,71
73,t82g,81
102,t95,86
110,t45,93
6,t78,98
60,t18,129
74,t64,133
32,t79,176
5,t77,187
92,t86,197
101,t43,199
87,t22,216
62,t105,283
98,t66,294
64,t47,296
69,t17,323
4,t1,449
18,t74g,519
78,t75,674
